deputado_id;deputado_nome
3151.0;Jairo Ataíde
4931.0;Izalci Lucas
73485.0;Paulo José Gouvêa
73534.0;João Paulo Cunha
73575.0;Joel de Hollanda
73577.0;Tarcísio Zimmermann
73594.0;Nilmar Ruiz
73653.0;Wellington Fagundes
73682.0;João Eduardo Dado
73683.0;Ary José Vanazzi
73692.0;Osmar Terra
73937.0;Anselmo de Jesus
74027.0;Dr. Ribamar Alves
74094.0;Dr. Luiz Fernando
74099.0;Eurípedes Miranda
74152.0;Isaías Silvestre
74163.0;Carlos Manato
74194.0;Antonio Joaquim Araújo
74195.0;César Bandeira
74321.0;Carlos Alberto Rosado
74341.0;Almir Sá
74363.0;Márcio Bittar
74373.0;Antônio Carlos Biffi
74377.0;André Zacharow
74378.0;Assis Miguel do Couto
74455.0;Léo Alcântara
74587.0;Maria Lúcia Cardoso
74676.0;Carlos Rodrigues
74700.0;Luiz Antonio Fleury
74702.0;Wanderval Santos
74744.0;Márcio Reinaldo Moreira
74781.0;João Herrmann Neto
74802.0;Geraldo Magela
74858.0;Lindbergh Farias
128760.0;Paulo Marinho Junior
141057.0;Cláudio Diaz
141411.0;Dagoberto Nogueira
141439.0;Chico D'Angelo
141464.0;José Airton Félix Cirilo
141467.0;Francisco Tenório
141492.0;Manuela D`Ávila
141518.0;Paulo Pereira da Silva
141532.0;Rodrigo Rocha Loures
148134.0;Professor Victório Galli
151965.0;José Maia Filho
160512.0;Aureo Ribeiro
160517.0;Paulo Foletto
160532.0;Eli Corrêa Filho
160552.0;Danrlei de Deus Hinterholz
160558.0;Paulo Freire Costa
160601.0;Pastor Marco Feliciano
160646.0;Fernando Francischini
160652.0;Roberto Teixeira
178842.0;JHC
178858.0;Mário Negromonte Jr
178930.0;Evandro Roman
191923.0;Flávio Nogueira
193726.0;Paulo Eduardo Martins
204355.0;Da Vitória
204448.0;Luiz Antônio Corrêa
204531.0;Guilherme Derrite
205865.0;Reinhold Stephanes Junior
214477.0;RRenato Queiroz
215043.0;Josivaldo JP
